,name,afk_time,perc
4147,NetherLovers3,508835.0,0.00106752677377819
4148,misticBubbles,508718.0,0.0010672813098605506
4149,Pawoverlord,508567.0,0.0010669645145480417
4150,Jatopia,508556.0,0.0010669414367438191
4151,Melisksks,508441.0,0.0010667001687905838
4152,ItzCarterPlayz,507979.0,0.0010657309010132384
4153,TheCrafterJosh,507281.0,0.0010642665094362104
4154,kirk_voetbal,507270.0,0.0010642434316319876
4155,bearkami,506719.0,0.0010630874434386602
4156,corz299,506660.0,0.0010629636624887395
4157,J_aboc,506587.0,0.0010628105097879902
4158,sraimo,506561.0,0.001062755962250737
4159,BananBombe,506414.0,0.0010624475588670362
4160,f3r,506071.0,0.0010617279509717342
4161,Thoringer67,506035.0,0.0010616524236124606
4162,Skenky,506016.0,0.0010616125619506219
4163,Calientia,505896.0,0.0010613608040863762
4164,northstar2204,505694.0,0.001060937011681563
4165,tgamemode,505526.0,0.001060584550671619
4166,catman_batman123,505352.0,0.0010602195017684632
4167,methionyflocc,505281.0,0.0010600705450321177
4168,ZebYT,505058.0,0.0010596026950010615
4169,Naixon,505025.0,0.001059533461588394
4170,AnarchyBruder,504889.0,0.0010592481360089155
4171,DISTXRTIXN,504490.0,0.0010584110411102992
4172,Gamerkidzilla,504470.0,0.0010583690814662582
4173,minya15,504413.0,0.0010582494964807415
4174,seizure_slayer95,504409.0,0.0010582411045519334
4175,ImMclovin1223,504156.0,0.0010577103150548157
4176,BloodedManiac,504119.0,0.00105763268971334
4177,JDOTJDOT,504112.0,0.0010576180038379256
4178,Inobody92,504056.0,0.001057500516834611
4179,Mag_D_Goldmen,503974.0,0.0010573284822940434
4180,nnnb19,503761.0,0.0010568816120850074
4181,ChrisPlaysGames,503713.0,0.0010567809089393092
4182,MineHacksCo,503680.0,0.0010567116755266417
4183,Lsuvsfar,503652.0,0.0010566529320249845
4184,SolarWave,503645.0,0.00105663824614957
4185,vXSlayer123,503599.0,0.0010565417389682761
4186,XanderKyle,503592.0,0.0010565270530928617
4187,dirt10,503579.0,0.0010564997793242352
4188,milkmanm00,503508.0,0.0010563508225878897
4189,SirDaeDae,503288.0,0.0010558892665034395
4190,ThePurpleLamp,503264.0,0.0010558389149305904
4191,MaxGiants05,503256.0,0.0010558221310729742
4192,the_Chimichonga,503241.0,0.0010557906613399436
4193,bobyjones,503101.0,0.001055496943831657
4194,FinnTheCake,503083.0,0.0010554591801520202
4195,IlGiftedlI,503077.0,0.001055446592258808
4196,Joker58441,502913.0,0.0010551025231776722
4197,ascib,502691.0,0.001054636771128818
4198,Nadoriana,502631.0,0.0010545108921966953
4199,Erykit,502628.0,0.0010545045982500892
4200,WarPhoenix2468,502531.0,0.0010543010939764905
4201,Zoiin,502374.0,0.0010539717107707694
4202,Calebou767,502348.0,0.0010539171632335162
4203,judatron,502343.0,0.001053906673322506
4204,katech99,502196.0,0.0010535982699388052
4205,Sup420,502118.0,0.0010534346273270456
4206,TheArtfulGamer,502106.0,0.001053409451540621
4207,altcobol,502065.0,0.0010533234342703372
4208,ElectricD,501830.0,0.0010528304084528564
4209,aFlawedMindxd,501786.0,0.0010527380972359661
4210,CrucibleSH,501737.0,0.001052635296108066
4211,Azshary,501680.0,0.0010525157111225493
4212,eetswa1,501633.0,0.001052417105959053
4213,alfred2012,501617.0,0.0010523835382438204
4214,Mister_VT,501525.0,0.0010521905238812322
4215,DaKirb,501483.0,0.0010521024086287461
4216,ColLox69,501277.0,0.0010516702242951248
4217,16charactersdude,501271.0,0.0010516576364019124
4218,DsMikachu,501103.0,0.0010513051753919687
4219,Mr_Muu,501053.0,0.0010512002762818665
4220,Nasherwolf,500819.0,0.0010507093484465875
4221,Hanspeter007x,500301.0,0.0010496225936659275
4222,nemesishide,500293.0,0.0010496058098083112
4223,iXxinox,500250.0,0.0010495155965736232
4224,GeneralK3n0b1,500076.0,0.0010491505476704671
4225,NoNoWeb,499897.0,0.0010487750088563007
4226,XxMajorBlastorxX,499757.0,0.0010484812913480143
4227,MowseChao,499735.0,0.0010484351357395694
4228,stvtus,499693.0,0.0010483470204870834
4229,cexl,499632.0,0.0010482190435727587
4230,McJoe201,499493.0,0.0010479274240466742
4231,upha,499477.0,0.0010478938563314413
4232,iXQc7,499468.0,0.001047874974491623
4233,Staninna,499464.0,0.001047866582562815
4234,Ivan_Vlot,499405.0,0.001047742801612894
4235,codiophile,499380.0,0.0010476903520578432
4236,eatbread2000,499275.0,0.001047470063926628
4237,MR_anty9,499067.0,0.0010470336836286027
4238,reflectionist,499059.0,0.0010470168997709862
4239,_luxx__,499044.0,0.0010469854300379556
4240,FrostDustHD18,498948.0,0.0010467840237465592
4241,SpicyStudios_YT,498887.0,0.0010466560468322342
4242,Yord13,498869.0,0.0010466182831525973
4243,SquidySpecs,498809.0,0.0010464924042204746
4244,PandaGoat83,498808.0,0.0010464903062382726
4245,Bilallk,498676.0,0.0010462133725876023
4246,DjaroGames,498653.0,0.0010461651189969555
4247,caduzingamer,498613.0,0.0010460811997088735
4248,vangefinn,498522.0,0.0010458902833284875
4249,victorprocure,498469.0,0.001045779090271779
4250,Slippet,498453.0,0.001045745522556546
4251,big_daddy_bigs,498423.0,0.0010456825830904848
4252,boulfire,498231.0,0.001045279770507692
4253,PotatoTheDevil,498178.0,0.0010451685774509835
4254,The_Chuck,498019.0,0.0010448349982808583
4255,RealCorn,497915.0,0.0010446168081318455
4256,larryfisher412,497795.0,0.0010443650502675998
4257,AAHC2012,497712.0,0.00104419091774483
4258,Missrazgriz,497496.0,0.0010437377535891879
4259,AwesomeTuba682,497455.0,0.0010436517363189041
4260,FlamyScars,497288.0,0.0010433013732911623
4261,nomdres,497121.0,0.0010429510102634206
4262,Eddiebedz,496957.0,0.001042606941182285
4263,Ac1dVap0r,496866.0,0.0010424160248018988
4264,RickySouth,496852.0,0.0010423866530510702
4265,ItsSilver_1,496781.0,0.001042237696314725
4266,Brezzly,496694.0,0.0010420551718631468
4267,Hooopla,496671.0,0.0010420069182724998
4268,Schingar,496612.0,0.001041883137322579
4269,maxxi_lovers,496537.0,0.0010417257886574257
4270,realEBN,496452.0,0.0010415474601702516
4271,dankwildthieves,496437.0,0.001041515990437221
4272,maurermz,496427.0,0.0010414950106152005
4273,THGL,496113.0,0.001040836244203758
4274,LordKintama,496002.0,0.001040603368179331
4275,4788888,495770.0,0.001040116636308456
4276,lkBart,495761.0,0.0010400977544686378
4277,laloworld94,495542.0,0.0010396382963663896
4278,Chuck0norris,495538.0,0.0010396299044375813
4279,Satherath,495534.0,0.0010396215125087732
4280,Tredough,495341.0,0.0010392166019437784
4281,LucidLullabye,495283.0,0.0010390949189760597
4282,ColdIsFreezing,495230.0,0.0010389837259193512
